tenure,MonthlyCharges,TotalCharges,contract_encoded,contract_risk_score,tenure_group_encoded,price_segment_encoded,TotalCharges_log,avg_monthly_spend,total_services,security_services_count,entertainment_services_count,family_size_indicator,projected_24m_value,revenue_per_month,loyalty_value_score,gender,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,has_internet,is_fiber,is_dsl,payment_Bank transfer (automatic),payment_Credit card (automatic),payment_Electronic check,payment_Mailed check,is_auto_payment,is_electronic_check,OnlineSecurity_binary,OnlineBackup_binary,DeviceProtection_binary,TechSupport_binary,StreamingTV_binary,StreamingMovies_binary,MultipleLines_binary,is_new_customer,is_high_price,has_any_services,is_fully_engaged,has_security_bundle,has_premium_protection,has_security_gap,has_partial_security,is_likely_household,is_heavy_streaming,mtm_new_customer,mtm_mid_tenure,long_contract_loyal,fiber_mtm_risk,fiber_long_contract,high_price_no_services,high_price_full_services,new_customer_high_price,echeck_no_autopay,paperless_no_autopay,senior_no_support,single_minimal_services,is_flight_risk,is_value_at_risk,needs_retention,upsell_opportunity,premium_retention_target,cluster_label
0.1023712383613841,-0.5219756496159262,-0.2622571999520109,-0.8277744484887779,0.8277744484887779,0.2566080163784842,-0.3657668194500768,0.3169147442581052,-0.3898365400503459,0.5079352703082123,-0.2155126917359613,1.426245565903011,-0.9608939480457112,-0.5219756496159262,-0.5399864492204893,-0.2596820897895482,1,0,0,0,0,0,1,0,1,False,False,True,False,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.7117434584104956,0.3374778078243394,-0.5036347857749957,-0.8277744484887779,0.8277744484887779,-0.5115798498682637,0.7097708949453994,0.0676834783602238,0.4168213371483602,-0.5705298937831644,-0.2155126917359613,-0.9127058293225936,1.4954021060783984,0.3374778078243395,0.3914956571271635,-0.5145131311922226,1,0,1,1,1,0,1,1,0,False,False,False,True,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.7931549280876836,-0.8090131942822701,-0.7498829245931361,1.5693888734262953,-1.5693888734262953,-0.5115798498682637,-0.3657668194500768,-0.3585446139660607,-0.5563741572043094,0.5079352703082123,1.337170818801642,-0.9127058293225936,1.4954021060783984,-0.8090131942822701,-0.6461016261351733,-0.7500999295846598,1,0,1,1,0,0,1,0,1,False,False,False,True,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2639803751859618,0.2843841579438598,-0.17272239466719,1.5693888734262953,-1.5693888734262953,0.2566080163784842,0.7097708949453994,0.3892093973038918,0.3714205890316067,1.0471678523539008,0.5608290635328403,1.426245565903011,0.2672540790163435,0.2843841579438596,0.2765520930980041,-0.1795551180596757,0,0,1,0,1,1,1,0,1,False,True,False,False,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.281623746150811,-0.6762790695810708,-0.9893737196161956,-0.8277744484887779,0.8277744484887779,-1.2797677161150114,-0.3657668194500768,-1.9959457591526184,-1.2059388915305618,-1.109762475828853,-0.991854447004763,-0.9127058293225936,1.4954021060783984,-0.6762790695810711,-0.6746084444949295,-0.9832533296871858,1,0,1,1,1,0,1,0,1,False,False,True,False,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.3642490183577978,0.4834853449956588,1.2710674769778725,1.5693888734262953,-1.5693888734262953,1.024795882625232,0.7097708949453994,1.02966329744308,0.5990866098859272,1.5864004343995892,1.337170818801642,1.426245565903011,0.2672540790163435,0.4834853449956587,0.4563085619000811,1.2761055519526727,1,0,0,1,1,1,1,0,1,False,True,False,False,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-1.281623746150811,-1.497571466169742,-1.0002337364297182,-0.8277744484887779,0.8277744484887779,-1.2797677161150114,-1.441304533845553,-2.4966052523188376,-1.610021800765834,-1.109762475828853,-0.991854447004763,-0.9127058293225936,-0.9608939480457112,-1.497571466169742,-1.4935431594281017,-0.9887396087108812,0,0,0,0,1,0,0,0,0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.305899912554354,-0.2764175189187074,0.0350001087478271,-0.8277744484887779,0.8277744484887779,1.024795882625232,-0.3657668194500768,0.530855662942022,-0.0385285334526261,-0.5705298937831644,-0.2155126917359613,-0.9127058293225936,0.2672540790163435,-0.2764175189187076,-0.1806832745084678,0.0358859174881585,0,0,1,0,1,0,1,0,1,False,True,False,False,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.3235432835192036,-0.1702302191577481,0.6620728371601656,1.5693888734262953,-1.5693888734262953,1.024795882625232,-0.3657668194500768,0.831227156456814,-0.0492005432752475,-0.031297311737476,-0.2155126917359613,0.2567698682902087,0.2672540790163435,-0.1702302191577484,-0.2101254728456533,0.6696018309687369,0,0,1,0,1,1,1,0,1,False,True,False,False,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1.1200146093262338,0.5183280527297236,1.1179083307653424,0.3708072124687587,-0.3708072124687587,1.024795882625232,0.7097708949453994,0.9852573277424872,0.6613269607134106,1.0471678523539008,0.5608290635328403,1.426245565903011,-0.9608939480457112,0.5183280527297236,0.5243174928791194,1.1205141890778627,0,0,0,0,1,0,1,0,1,False,True,False,False,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
